host_response_time,host_response_time_skala,host_identity_verified,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
,,1,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,47,0,0,1,7,10,0,0,0,0,1,100,0,moderate
,,1,0,2,Lichtenberg,Apartment,Private room,1,1,1,1,Real Bed,30,0,0,1,5,1125,0,0,0,0,2,100,1,moderate
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1,1,1,Real Bed,80,400,30,2,2,1125,0,0,0,0,1,100,0,moderate
,,1,0,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,20,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Pankow,Apartment,Private room,1,1,1,1,Real Bed,15,0,0,1,3,1125,0,0,0,0,4,80,1,flexible
within a day,3,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,48,0,15,1,1,1125,24,54,84,359,11,100,0,moderate
within a day,3,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,21,0,15,1,3,1125,0,0,0,0,9,93,0,moderate
,,0,0,1,Pankow,Apartment,Private room,2,2,1,1,Real Bed,39,0,0,1,1,1125,0,0,0,0,1,80,0,flexible
,,0,0,2,Tempelhof - Schoenenberg,Apartment,Entire home/apt,8,1,2,8,Real Bed,90,0,30,6,1,1125,0,0,0,0,1,40,1,flexible
within an hour,1,1,0,2,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,5,1,2,3,Real Bed,70,300,40,2,2,1125,0,0,0,5,32,94,0,moderate
,,1,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,1,Real Bed,50,0,20,1,3,1125,0,0,0,0,3,93,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,23,300,0,1,15,30,0,0,0,0,0,,1,flexible
within an hour,1,1,1,7,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,3,Real Bed,60,0,25,2,1,1125,3,10,28,271,342,98,1,moderate
within a day,3,0,1,4,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,28,100,20,1,2,1124,0,0,0,0,11,95,1,flexible
,,0,0,1,Neukoelln,Apartment,Entire home/apt,3,1,2,3,Real Bed,60,0,0,3,1,1125,0,0,0,0,1,80,0,flexible
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,22,0,0,1,2,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Treptow - Koepenick,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,0,20,2,7,13,0,0,0,0,0,,0,flexible
,,1,0,1,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,35,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,50,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,3,Mitte,Apartment,Entire home/apt,5,1,2,4,Real Bed,89,0,30,3,2,1125,0,0,0,0,1,60,0,flexible
within an hour,1,0,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,50,90,20,1,3,28,15,45,75,75,73,94,1,moderate
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,34,0,12,1,7,1125,0,0,0,255,1,,0,moderate
within a day,3,0,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,29,0,0,1,13,1125,0,0,0,0,4,100,0,flexible
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Couch,50,0,0,1,4,40,0,0,0,0,34,95,0,strict_14_with_grace_period
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,50,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,43,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1.5,1,1,Real Bed,39,0,9,1,4,7,0,0,0,0,21,98,0,moderate
within an hour,1,0,1,1,Charlottenburg-Wilm.,Apartment,Private room,5,1,2,3,Real Bed,50,0,0,2,2,5,2,2,2,69,193,96,1,moderate
,,0,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,1,Real Bed,40,150,30,1,1,1125,0,0,0,0,1,80,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,2,Couch,119,150,20,1,4,4,0,0,0,0,0,,0,flexible
,,0,0,2,Neukoelln,Apartment,Entire home/apt,3,1,1,2,Real Bed,45,150,20,1,1,1125,0,0,0,0,0,,0,moderate
,,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,30,0,0,1,2,30,0,0,0,0,7,100,1,flexible
,,1,0,1,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,30,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Real Bed,26,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,2,Mitte,Apartment,Private room,4,1,1,2,Real Bed,20,0,20,2,7,21,0,0,0,0,0,,0,strict_14_with_grace_period
within a day,3,1,0,1,Neukoelln,Apartment,Private room,3,1,1,2,Real Bed,46,600,12,1,2,14,0,0,11,282,33,97,0,strict_14_with_grace_period
within a day,3,0,0,1,Mitte,Apartment,Entire home/apt,3,1,1,1,Real Bed,47,150,25,1,1,1125,9,26,56,56,9,91,0,moderate
,,0,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,20,0,0,1,1,1125,0,0,0,0,1,,1,flexible
within a few hours,2,1,1,3,Mitte,Apartment,Entire home/apt,6,2,2,3,Real Bed,220,500,50,1,3,1124,12,22,35,289,128,94,0,strict_14_with_grace_period
,,0,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,25,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,54,150,20,2,2,1125,0,0,0,0,25,89,0,flexible
within an hour,1,0,0,20,Lichtenberg,Apartment,Entire home/apt,6,1,2,4,Real Bed,89,200,34,3,1,1125,9,22,35,284,143,93,0,strict_14_with_grace_period
within an hour,1,0,0,20,Friedrichshain-Kreuzberg,Apartment,Private room,5,1,1,2,Real Bed,48,100,10,2,1,1125,18,48,78,353,110,85,0,moderate
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,1,Real Bed,60,0,30,1,4,40,4,11,41,41,52,91,1,moderate
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,30,0,0,1,1,1125,0,0,0,0,1,,0,flexible
,,0,0,1,Pankow,Apartment,Entire home/apt,2,1,2,1,Real Bed,60,0,0,1,1,1125,0,0,0,0,2,100,0,flexible
,,1,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,20,0,0,1,10,1125,0,0,0,0,3,93,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,31,100,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Futon,21,0,0,1,1,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,1,1,Mitte,Apartment,Entire home/apt,4,1,1,2,Real Bed,129,0,35,2,2,1125,2,6,16,32,169,98,0,moderate
within an hour,1,1,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,40,0,0,1,7,45,11,27,45,301,69,95,0,strict_14_with_grace_period
,,1,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,2,1,1,1,Real Bed,35,300,55,1,14,1125,0,0,0,0,1,100,0,strict_14_with_grace_period
,,0,0,1,Marzahn - Hellersdorf,House,Private room,1,1,1,2,Real Bed,35,0,0,1,5,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,42,200,25,1,2,1125,0,0,0,0,1,100,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Futon,20,0,0,1,4,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,0,1,Neukoelln,Apartment,Entire home/apt,3,1,1,2,Real Bed,55,0,0,1,2,1125,0,3,3,3,2,80,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,45,0,12,2,5,1125,0,0,0,0,6,100,0,moderate
within an hour,1,0,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,25,0,0,1,5,18,0,13,13,13,4,95,0,flexible
,,1,0,2,Charlottenburg-Wilm.,Apartment,Private room,2,1,1,1,Real Bed,35,0,0,2,2,1125,0,0,0,0,2,100,0,moderate
,,0,0,2,Mitte,Apartment,Entire home/apt,8,1,3,8,Real Bed,49,0,30,1,1,1125,0,0,0,0,0,,1,flexible
,,1,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,25,0,0,1,1,1125,0,0,0,0,1,100,0,flexible
,,1,0,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,60,100,25,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,4,1,2,4,Real Bed,36,500,0,1,50,1125,0,0,0,0,9,93,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,1,1,1,1,Real Bed,20,0,0,1,6,1125,0,0,0,0,2,90,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Futon,50,0,20,2,3,7,0,0,0,133,5,80,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,90,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Mitte,Apartment,Entire home/apt,1,1,1,1,Real Bed,37,300,50,1,13,90,0,0,0,0,1,,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,37,0,29,1,2,16,0,0,0,0,11,95,0,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,100,0,75,3,1,1125,0,0,0,0,3,100,0,strict_14_with_grace_period
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,23,0,0,1,1,1125,0,0,0,0,3,73,1,flexible
,,1,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,45,0,0,1,1,1125,0,0,0,0,1,60,0,flexible
a few days or more,4,1,0,1,Pankow,Apartment,Entire home/apt,2,1,1,2,Real Bed,48,0,5,1,1,1125,0,5,5,7,42,91,0,strict_14_with_grace_period
within an hour,1,1,0,7,Mitte,Apartment,Entire home/apt,1,1,0,1,Real Bed,48,100,25,1,28,1125,0,8,8,265,10,94,1,strict_14_with_grace_period
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,23,0,5,1,1,1125,0,0,0,0,1,100,1,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,115,0,30,1,2,1125,0,0,0,0,1,100,0,moderate
,,0,0,2,Pankow,Apartment,Private room,2,1,1,1,Real Bed,30,0,0,1,3,1125,0,0,0,0,1,100,0,flexible
within an hour,1,0,0,2,Lichtenberg,House,Private room,2,1,1,1,Real Bed,35,0,0,1,2,1125,0,0,11,11,8,98,0,strict_14_with_grace_period
,,0,0,2,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,45,0,15,1,15,40,0,0,0,0,0,,0,moderate
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,0,1,Real Bed,40,150,39,2,3,1125,0,0,0,0,2,90,0,moderate
within an hour,1,1,1,1,Mitte,Apartment,Entire home/apt,2,1,0,1,Real Bed,107,400,50,1,3,14,8,14,33,33,155,99,1,strict_14_with_grace_period
,,1,0,1,Mitte,Apartment,Private room,2,2,1,1,Real Bed,21,0,0,1,13,100,0,0,0,0,18,86,0,strict_14_with_grace_period
within an hour,1,0,1,1,Marzahn - Hellersdorf,Apartment,Entire home/apt,4,1,2,4,Real Bed,65,0,40,2,2,30,2,16,40,304,60,95,1,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,2,Real Bed,35,0,0,1,1,1125,0,0,0,0,2,80,1,flexible
within a day,3,1,0,1,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,18,100,5,1,2,1125,1,5,6,226,74,92,0,moderate
,,1,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,1,Real Bed,60,200,10,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,17,0,13,1,6,1125,0,0,0,0,1,80,0,flexible
within a day,3,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,25,0,6,1,5,9,2,5,5,138,12,95,0,moderate
,,0,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,2,Real Bed,40,100,0,1,2,14,0,0,0,0,7,94,0,flexible
,,0,0,1,Mitte,Apartment,Entire home/apt,1,1,1,1,Pull-out Sofa,44,400,0,1,3,1125,0,0,0,0,0,,0,flexible
within an hour,1,1,0,18,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,48,300,120,1,60,1125,0,13,43,318,1,100,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Futon,29,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,50,0,0,1,1,1125,0,0,0,0,1,,0,flexible
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Pull-out Sofa,59,100,5,1,2,1125,0,0,0,0,95,93,0,strict_14_with_grace_period
within a day,3,1,0,1,Neukoelln,Apartment,Entire home/apt,6,1,2,4,Real Bed,110,250,25,1,7,1125,0,20,34,34,4,85,0,strict_14_with_grace_period
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,50,0,10,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Charlottenburg-Wilm.,House,Entire home/apt,6,1.5,4,4,Pull-out Sofa,200,0,0,6,31,372,0,5,35,310,16,94,0,strict_14_with_grace_period
within an hour,1,1,1,0,Treptow - Koepenick,House,Private room,4,1,2,2,Real Bed,50,500,20,2,3,1125,18,18,19,20,53,98,1,moderate
within an hour,1,0,0,2,Tempelhof - Schoenenberg,Apartment,Private room,2,1,1,2,Real Bed,38,0,10,1,2,1125,7,16,27,27,147,96,1,flexible
,,0,1,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,35,0,5,1,2,17,0,0,0,133,29,92,0,moderate
,,0,0,1,Mitte,Apartment,Private room,1,1,1,1,Real Bed,25,500,50,1,1,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,0,1,Marzahn - Hellersdorf,House,Entire home/apt,3,1,1,3,Real Bed,55,0,0,1,1,1125,7,9,12,74,7,100,0,flexible
within a few hours,2,0,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,220,55,2,3,1125,2,15,45,314,47,90,0,moderate
within an hour,1,1,0,2,Steglitz - Zehlendorf,Apartment,Entire home/apt,2,1,1,2,Real Bed,25,0,0,1,150,1125,0,0,0,260,3,93,0,strict_14_with_grace_period
within an hour,1,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,35,0,15,1,1,30,0,0,0,133,4,100,1,flexible
within a few hours,2,1,1,5,Lichtenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,52,500,90,1,60,1125,0,0,0,250,0,,1,flexible
within an hour,1,0,1,1,Pankow,Apartment,Private room,3,1.5,1,2,Futon,50,180,39,1,2,1125,5,19,42,284,132,97,1,moderate
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,45,500,0,1,7,31,0,0,0,0,1,100,0,flexible
,,1,0,1,Neukoelln,Apartment,Entire home/apt,3,1,2,2,Real Bed,20,100,0,1,3,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,90,0,0,1,1,1125,0,0,0,0,1,100,0,flexible
within an hour,1,1,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Futon,47,0,10,1,1,8,0,0,0,0,87,99,0,flexible
,,0,0,2,Pankow,Apartment,Private room,2,1.5,1,1,Real Bed,19,0,0,1,3,5,0,0,0,0,1,100,0,flexible
,,0,0,2,Pankow,Apartment,Private room,2,1.5,1,1,Real Bed,20,0,0,1,3,10,0,0,0,0,2,100,0,flexible
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,4,1,1,2,Real Bed,70,200,20,1,1,1125,0,0,0,0,1,,0,flexible
,,0,0,1,Treptow - Koepenick,Apartment,Entire home/apt,8,2.5,5,8,Real Bed,95,500,100,1,1,1125,0,0,0,0,0,,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,140,2000,0,1,21,1125,0,0,0,0,0,,0,flexible
within a day,3,1,0,1,Pankow,Apartment,Entire home/apt,4,2,3,4,Real Bed,110,300,0,1,3,1125,0,0,2,90,2,100,0,strict_14_with_grace_period
within an hour,1,0,0,8,Mitte,Apartment,Entire home/apt,6,1,2,3,Real Bed,191,0,25,2,1,1125,3,18,35,293,58,88,1,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Pull-out Sofa,32,0,0,1,2,1125,0,0,0,0,41,96,0,flexible
,,0,0,1,Lichtenberg,Apartment,Private room,1,1,1,1,Real Bed,20,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Mitte,Apartment,Entire home/apt,4,1,2,2,Real Bed,62,0,29,1,1,1125,0,0,0,0,9,69,1,strict_14_with_grace_period
,,1,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1.5,1,1,Real Bed,25,450,15,1,7,21,0,0,0,0,2,100,0,flexible
,,1,0,1,Treptow - Koepenick,Apartment,Private room,3,1,1,1,Real Bed,40,150,14,3,5,1125,0,0,0,0,2,100,0,strict_14_with_grace_period
a few days or more,4,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Futon,46,1000,15,1,1,1125,0,0,0,65,69,97,0,moderate
,,0,0,1,Steglitz - Zehlendorf,Apartment,Private room,2,2,1,1,Real Bed,40,0,0,1,1,1125,0,0,0,0,0,,0,flexible
within an hour,1,1,1,2,Treptow - Koepenick,Apartment,Entire home/apt,4,1,1,1,Real Bed,56,0,0,1,2,14,0,0,0,0,68,97,1,flexible
,,1,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,35,0,0,1,1,1125,0,0,0,0,2,80,0,flexible
within a few hours,2,1,0,18,Charlottenburg-Wilm.,Apartment,Entire home/apt,3,1,1,1,Real Bed,27,100,50,1,30,120,0,21,21,284,11,96,0,strict_14_with_grace_period
within a few hours,2,1,0,18,Mitte,Apartment,Entire home/apt,4,1,2,3,Real Bed,27,100,48,1,30,120,10,15,15,241,15,89,0,strict_14_with_grace_period
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Futon,24,0,10,1,2,1125,0,0,0,0,2,100,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,29,250,25,1,2,1125,0,0,0,0,3,100,0,moderate
within a day,3,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Pull-out Sofa,50,150,20,1,1,7,12,42,72,347,9,100,0,moderate
,,0,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,21,100,0,1,3,1125,0,0,0,0,1,80,0,flexible
,,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,49,0,15,1,2,1125,0,0,0,0,12,100,0,flexible
,,0,0,1,Lichtenberg,Apartment,Private room,1,1,1,1,Futon,18,100,0,1,10,28,0,0,0,0,0,,0,flexible
within a few hours,2,1,1,4,Pankow,Apartment,Private room,2,1,1,1,Real Bed,45,200,0,1,20,364,0,0,11,286,7,97,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,48,0,0,1,15,30,0,0,0,0,0,,0,strict_14_with_grace_period
within an hour,1,0,1,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1.5,1,1,Real Bed,30,0,12,1,2,1125,9,27,27,27,121,95,1,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,1,Real Bed,65,300,30,2,3,1125,0,0,0,0,8,90,0,moderate
within a few hours,2,1,0,1,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,40,0,20,1,2,31,12,42,70,160,31,99,0,moderate
within a few hours,2,1,0,18,Charlottenburg-Wilm.,Apartment,Entire home/apt,3,1,1,1,Real Bed,26,200,50,1,30,120,4,15,19,275,9,93,0,strict_14_with_grace_period
within a few hours,2,1,0,18,Reinickendorf,Apartment,Entire home/apt,3,1,1,2,Real Bed,26,150,50,1,30,180,28,38,53,177,4,75,0,strict_14_with_grace_period
within a day,3,0,0,1,Treptow - Koepenick,Apartment,Private room,2,1,1,1,Futon,35,200,30,1,2,1125,0,11,41,316,12,95,0,strict_14_with_grace_period
within an hour,1,0,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,25,0,10,1,1,7,10,40,70,70,169,87,1,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Real Bed,17,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Pankow,Apartment,Private room,2,2,1,1,Real Bed,37,0,0,1,1,4,0,0,0,0,7,93,0,moderate
,,1,0,2,Pankow,Apartment,Private room,1,1,1,1,Couch,40,250,15,1,10,1125,0,0,0,0,0,,0,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,25,200,40,1,7,1125,0,0,0,0,0,,0,flexible
within a day,3,1,0,1,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,45,0,0,1,1,7,0,0,0,0,6,84,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,3,1,1,1,Real Bed,34,0,25,1,1,1125,0,0,0,0,39,98,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,2,Real Bed,50,0,0,1,3,1125,0,0,0,0,2,90,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Shared room,1,1,1,1,Real Bed,37,85,0,1,3,1125,0,0,0,0,2,100,1,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,1,Pull-out Sofa,60,0,40,1,4,1125,0,0,0,0,3,93,0,moderate
,,1,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,4,1,2,2,Real Bed,49,0,0,1,1,7,0,0,0,0,14,76,1,flexible
,,1,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,20,94,19,1,7,1125,0,0,0,0,1,100,0,flexible
,,0,0,1,Neukoelln,Apartment,Entire home/apt,2,1.5,2,2,Real Bed,40,0,0,1,1,1125,0,0,0,0,0,,0,flexible
within an hour,1,1,1,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,6,1,2,2,Real Bed,100,200,40,2,2,1125,9,21,35,190,70,97,1,moderate
within an hour,1,1,1,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,4,2,2,2,Real Bed,100,200,60,2,3,31,2,3,9,148,133,97,1,strict_14_with_grace_period
within a day,3,0,0,2,Mitte,Apartment,Private room,1,1,1,1,Real Bed,40,0,0,1,1,1125,0,0,0,0,0,,0,flexible
within a few hours,2,0,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,52,100,20,1,60,270,0,4,4,244,17,82,0,flexible
,,0,0,3,Mitte,Apartment,Private room,2,1,1,1,Real Bed,35,100,5,2,2,1125,0,0,0,0,0,,0,flexible
,,1,0,2,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,79,350,30,1,4,1125,0,0,0,0,2,100,0,strict_14_with_grace_period
within an hour,1,1,1,1,Neukoelln,Apartment,Entire home/apt,2,0,1,1,Real Bed,89,0,0,1,1,1125,14,44,73,348,96,96,0,strict_14_with_grace_period
,,0,0,1,Mitte,Apartment,Entire home/apt,2,1,1,2,Real Bed,22,250,10,1,2,1125,0,0,0,0,1,80,0,moderate
,,0,0,1,Mitte,Apartment,Private room,1,1,1,1,Real Bed,15,100,0,1,12,19,0,0,0,0,0,,0,strict_14_with_grace_period
,,0,0,1,Mitte,Apartment,Private room,2,2,1,1,Real Bed,15,0,0,1,8,21,0,0,0,0,0,,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,50,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Charlottenburg-Wilm.,Apartment,Shared room,2,1,1,1,Real Bed,40,0,0,1,1,7,0,0,0,0,18,97,0,flexible
,,0,0,1,Mitte,House,Private room,2,1,1,1,Real Bed,30,0,10,2,2,1125,0,0,0,135,3,100,0,flexible
,,0,0,1,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,60,100,20,2,1,1125,0,0,0,0,57,90,1,moderate
,,1,0,1,Steglitz - Zehlendorf,Apartment,Entire home/apt,1,1,0,1,Real Bed,29,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,1,Neukoelln,Apartment,Entire home/apt,4,1,0,2,Real Bed,34,200,0,1,3,1125,0,0,0,0,1,100,1,strict_14_with_grace_period
within an hour,1,0,0,2,Friedrichshain-Kreuzberg,Apartment,Shared room,1,1,1,2,Real Bed,25,0,0,1,1,1125,19,49,71,178,107,93,0,flexible
within a few hours,2,1,0,4,Charlottenburg-Wilm.,Apartment,Private room,2,1.5,1,1,Real Bed,36,500,40,1,4,60,3,6,24,24,11,91,0,strict_14_with_grace_period
within an hour,1,0,0,6,Mitte,Apartment,Entire home/apt,7,1,2,5,Real Bed,179,100,50,6,1,1125,17,40,62,174,124,88,1,strict_14_with_grace_period
within a day,3,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,32,0,10,1,3,1125,0,0,0,0,4,100,0,flexible
,,0,0,2,Mitte,Apartment,Entire home/apt,3,1,1,3,Real Bed,25,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,0,0,1,Treptow - Koepenick,Apartment,Entire home/apt,3,1,2,2,Real Bed,45,200,25,2,1,1125,0,0,0,0,0,,0,flexible
,,1,1,1,Charlottenburg-Wilm.,Apartment,Private room,2,1,1,1,Real Bed,15,100,10,1,2,1125,0,0,0,0,21,96,0,moderate
a few days or more,4,1,0,2,Pankow,Apartment,Private room,2,1,1,1,Real Bed,24,0,8,1,2,1125,0,0,0,0,5,96,0,flexible
