host_response_time,host_response_time_skala,host_identity_verified,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
within an hour,1,1,1,2,Pankow,Apartment,Private room,2,1,1,2,Real Bed,33,0,0,1,2,10,8,22,22,22,211,97,0,moderate
within a day,3,1,0,0,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,48,250,0,1,30,90,0,0,0,198,54,96,0,strict_14_with_grace_period
within a few hours,2,1,1,3,Pankow,Apartment,Entire home/apt,4,2,2,4,Real Bed,220,1500,60,5,3,15,7,11,26,44,84,98,0,strict_14_with_grace_period
within an hour,1,0,0,1,Mitte,Apartment,Entire home/apt,5,1,2,4,Real Bed,80,250,75,2,3,360,4,7,7,66,182,92,0,strict_14_with_grace_period
within a day,3,0,0,2,Steglitz - Zehlendorf,House,Entire home/apt,1,1,1,1,Real Bed,52,1200,50,1,2,365,0,0,0,132,3,100,1,moderate
within a few hours,2,0,1,2,Pankow,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,130,300,39,1,5,50,4,8,17,152,36,95,0,strict_14_with_grace_period
within an hour,1,0,0,2,Pankow,Apartment,Entire home/apt,4,1,1,1,Real Bed,98,300,50,2,5,360,1,5,5,143,90,98,1,strict_14_with_grace_period
within a day,3,0,0,4,Treptow - Koepenick,House,Entire home/apt,10,1.5,2,5,Real Bed,120,200,50,2,3,150,19,49,63,63,7,100,1,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Pull-out Sofa,100,300,30,1,5,21,0,5,35,195,19,90,0,strict_14_with_grace_period
within an hour,1,0,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,37,400,25,1,14,90,9,39,69,344,101,92,0,strict_14_with_grace_period
within an hour,1,0,0,3,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,52,0,30,1,2,730,4,16,21,269,106,83,1,strict_14_with_grace_period
within a few hours,2,1,0,2,Pankow,Apartment,Private room,4,1,2,2,Pull-out Sofa,55,150,15,1,3,31,0,0,0,0,48,98,0,strict_14_with_grace_period
within a few hours,2,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,2,2,Real Bed,118,200,40,2,2,365,1,1,1,1,34,100,0,moderate
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,2,Real Bed,29,85,15,1,2,16,12,20,30,60,72,96,0,strict_14_with_grace_period
within an hour,1,1,0,9,Pankow,Apartment,Entire home/apt,4,1,0,2,Real Bed,84,200,0,2,3,200,11,30,44,310,246,90,1,strict_14_with_grace_period
within an hour,1,0,1,2,Charlottenburg-Wilm.,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,200,60,2,3,360,7,23,23,257,45,96,1,moderate
within an hour,1,0,1,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,69,0,40,2,3,31,0,4,12,230,223,96,1,strict_14_with_grace_period
within an hour,1,1,1,2,Charlottenburg-Wilm.,Apartment,Entire home/apt,2,1,1,1,Pull-out Sofa,49,250,30,1,2,182,24,28,28,28,77,98,1,moderate
within a day,3,0,0,1,Mitte,Apartment,Entire home/apt,5,1,2,3,Real Bed,155,300,60,2,4,28,1,2,8,216,41,99,0,strict_14_with_grace_period
within an hour,1,1,1,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,66,200,40,1,3,35,4,6,11,75,256,98,1,strict_14_with_grace_period
within an hour,1,0,0,3,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,75,0,30,1,3,365,8,17,22,251,82,91,0,flexible
within a few hours,2,1,0,2,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,53,0,20,1,2,30,1,7,10,220,230,94,0,strict_14_with_grace_period
within a few hours,2,0,0,1,Pankow,Apartment,Entire home/apt,3,2,1,2,Real Bed,99,0,30,2,3,30,0,3,6,142,11,98,0,strict_14_with_grace_period
within an hour,1,0,1,2,Pankow,Apartment,Entire home/apt,5,1.5,2,4,Real Bed,186,190,49,2,1,1125,7,15,34,286,271,96,1,moderate
within a few hours,2,1,1,4,Pankow,Apartment,Entire home/apt,5,1,1,4,Real Bed,89,100,60,2,4,365,10,15,26,157,107,97,1,strict_14_with_grace_period
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Real Bed,80,150,40,1,2,14,30,60,90,365,45,92,0,strict_14_with_grace_period
within an hour,1,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,47,0,25,1,3,120,4,19,46,318,184,95,1,strict_14_with_grace_period
within an hour,1,1,1,4,Pankow,Apartment,Entire home/apt,4,1,1,2,Real Bed,114,0,40,2,6,365,0,0,0,1,59,97,0,strict_14_with_grace_period
,,1,0,1,Neukoelln,Apartment,Entire home/apt,3,1,1,2,Real Bed,60,0,20,1,2,10,0,0,0,134,44,99,0,strict_14_with_grace_period
within an hour,1,0,0,2,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,14,2,5,10,Real Bed,506,400,120,8,3,1125,0,0,0,133,112,94,1,strict_14_with_grace_period
within a few hours,2,0,1,3,Pankow,Apartment,Entire home/apt,4,1,1,2,Real Bed,82,0,50,2,60,1125,4,4,16,291,91,95,1,moderate
within a few hours,2,1,0,2,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,170,0,30,1,4,21,21,51,81,356,114,91,0,flexible
a few days or more,4,0,0,2,Charlottenburg-Wilm.,Apartment,Private room,2,1,1,1,Real Bed,70,100,30,1,2,365,0,0,0,0,54,79,0,strict_14_with_grace_period
within an hour,1,0,1,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,6,1,3,6,Real Bed,135,0,50,1,3,30,10,18,18,154,66,99,0,strict_14_with_grace_period
within a day,3,0,0,1,Pankow,House,Entire home/apt,4,1,2,2,Real Bed,69,0,45,2,2,30,11,26,38,298,4,100,0,strict_14_with_grace_period
a few days or more,4,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,2,3,Real Bed,70,250,20,1,21,40,0,0,0,85,3,100,0,strict_14_with_grace_period
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,1,Real Bed,68,0,25,2,60,365,0,1,1,257,84,94,1,moderate
within an hour,1,1,1,6,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,89,0,49,2,2,365,9,12,16,254,479,96,0,strict_14_with_grace_period
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,1,Real Bed,59,0,30,2,7,1125,0,0,0,0,17,98,0,strict_14_with_grace_period
within an hour,1,0,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,6,1,3,6,Real Bed,108,0,29,3,1,365,1,1,2,65,193,87,1,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,,2,3,Real Bed,75,0,40,2,2,60,0,0,0,0,191,95,0,moderate
within a day,3,1,0,1,Neukoelln,Apartment,Entire home/apt,4,1,1,3,Real Bed,55,200,40,2,22,180,0,0,15,270,56,91,0,strict_14_with_grace_period
within an hour,1,0,0,3,Pankow,Apartment,Entire home/apt,4,1,0,2,Pull-out Sofa,55,200,35,2,3,21,4,9,23,101,98,89,0,strict_14_with_grace_period
within a few hours,2,1,1,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,50,200,35,1,3,365,3,3,6,191,166,98,0,moderate
within a day,3,1,0,4,Neukoelln,Apartment,Entire home/apt,2,1,0,1,Real Bed,31,250,0,1,183,1125,0,0,0,225,84,96,0,strict_14_with_grace_period
within a day,3,1,0,4,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,250,0,1,183,1125,0,0,11,286,39,98,0,strict_14_with_grace_period
within a day,3,1,0,4,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,30,500,0,1,183,1125,0,0,0,0,40,98,0,strict_14_with_grace_period
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,2,Real Bed,81,1000,80,1,2,50,11,25,43,318,13,84,0,strict_14_with_grace_period
within a few hours,2,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Pull-out Sofa,52,0,20,2,3,60,9,22,37,301,137,89,0,moderate
,,1,0,1,Pankow,Apartment,Entire home/apt,2,1,2,2,Real Bed,100,3000,80,2,180,800,23,53,83,173,4,95,0,strict_14_with_grace_period
within a day,3,1,0,1,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,36,120,50,2,90,365,0,0,0,42,96,94,1,flexible
within a day,3,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,2,2,Real Bed,88,500,50,4,5,1125,3,9,18,247,49,93,0,strict_14_with_grace_period
within a few hours,2,1,1,1,Mitte,Apartment,Private room,4,1,1,2,Real Bed,29,100,30,1,1,90,3,10,31,297,276,96,0,moderate
within a few hours,2,0,1,1,Neukoelln,Apartment,Private room,1,,1,1,Real Bed,39,500,15,1,4,14,0,0,0,0,44,99,0,moderate
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,6,1,2,4,Real Bed,90,200,40,2,5,60,0,0,0,0,20,91,0,moderate
within an hour,1,0,0,1,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,30,100,20,1,1,14,5,5,5,5,61,99,0,moderate
within a day,3,0,0,1,Pankow,Apartment,Entire home/apt,3,1,1,2,Real Bed,49,0,20,1,2,1125,9,9,9,70,7,100,0,moderate
,,1,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1.5,1,1,Real Bed,30,150,15,1,1,730,0,0,0,133,13,100,1,moderate
within an hour,1,0,1,1,Charlottenburg-Wilm.,Apartment,Private room,1,1,1,1,Pull-out Sofa,23,500,5,1,5,180,5,11,11,236,26,97,0,moderate
within a day,3,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Pull-out Sofa,40,150,50,1,5,21,27,57,87,362,5,90,0,strict_14_with_grace_period
within an hour,1,1,0,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,0,50,2,4,28,5,5,12,276,101,94,1,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,63,150,30,1,4,365,0,0,0,225,9,100,0,moderate
within a few hours,2,1,0,1,Pankow,Apartment,Entire home/apt,5,2,2,1,Real Bed,80,300,50,1,2,365,0,0,0,0,33,96,0,moderate
,,1,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,42,0,10,1,1,730,0,0,0,0,1,,0,flexible
within an hour,1,0,0,4,Mitte,Apartment,Entire home/apt,3,1,2,3,Real Bed,96,500,100,2,90,365,0,0,0,0,31,94,0,strict_14_with_grace_period
within an hour,1,0,0,4,Mitte,Apartment,Entire home/apt,3,1,2,3,Real Bed,75,0,30,2,60,365,0,0,0,0,56,94,0,moderate
within an hour,1,0,0,4,Mitte,Apartment,Entire home/apt,5,1,2,4,Real Bed,96,500,100,2,60,365,0,0,0,0,41,93,0,strict_14_with_grace_period
within an hour,1,0,0,4,Mitte,Apartment,Entire home/apt,3,1,2,3,Real Bed,76,0,30,2,60,365,0,0,0,0,81,93,0,moderate
within a few hours,2,0,0,2,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,46,200,35,1,60,1125,0,0,0,133,8,89,0,strict_14_with_grace_period
within a few hours,2,1,0,3,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,6,2,3,6,Real Bed,306,0,98,4,1,1125,9,21,30,268,29,95,0,strict_14_with_grace_period
within a few hours,2,1,0,3,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,6,2,2,6,Real Bed,264,0,98,4,1,1125,7,19,44,291,19,83,0,strict_14_with_grace_period
,,1,0,1,Reinickendorf,Apartment,Private room,2,2,3,1,Real Bed,20,0,20,1,1,61,0,0,0,0,11,94,1,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,50,350,30,2,3,730,0,0,1,134,1,80,0,moderate
within a day,3,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,3,1,1,2,Real Bed,59,250,30,2,2,1825,2,4,4,186,48,93,0,strict_14_with_grace_period
,,0,0,1,Neukoelln,Apartment,Entire home/apt,3,1,1,2,Real Bed,75,300,40,1,2,180,0,0,0,12,71,97,0,strict_14_with_grace_period
within a few hours,2,1,1,1,Pankow,Apartment,Entire home/apt,12,1.5,3,15,Real Bed,170,200,140,4,2,365,17,30,35,280,125,96,0,moderate
within a day,3,1,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,1,1,1,1,Real Bed,39,100,30,1,60,180,14,24,30,275,19,96,0,strict_14_with_grace_period
within an hour,1,0,0,3,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,64,100,25,1,1,365,1,3,9,234,444,92,1,strict_14_with_grace_period
,,1,0,1,Pankow,Apartment,Private room,3,1,1,3,Real Bed,30,500,20,1,15,60,0,0,0,0,14,84,0,moderate
